Season,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
2023,"Joe Jacques","BOS",2,1,1,23,1,26.2,6.750000885129091,3.3750004425645455,0.675000088512909,0.35714285714285715,0.68584071,0.647058823,0.095238095,,5.062500663846818,,4.530040526688121,4.857055075805329,0.05247586965560913,"Joe Jacques",25178,682175
2023,"Kyle Hurt","LAD",0,0,0,1,0,2,13.5,0,0,0,1,0.666666666,0,95.73056030273438,0,,0.2550403594970705,1.08171623647213,0.052153442054986954,"Kyle Hurt",27514,669165
2024,"José Quijada","LAA",2,2,0,22,0,19.1,11.172415630145835,7.913794404686633,0.4655173179227431,0.275,0.74324324,0.2,0.045454545,93.98739743365921,3.2586212254592017,,4.304410999878723,5.352558668957315,0.0520181842148304,"Jose Quijada",19200,650671
2023,"Dany Jiménez","OAK",0,2,1,25,1,23.1,8.100001103537574,5.400000735691716,1.157143014791082,0.14285714285714285,0.76923077,0.280701754,0.09375,93.24545208819501,3.4714290443732456,,4.926469158639744,5.5224945024019165,0.05172792077064514,"Dany Jimenez",21170,666204
2023,"Darius Vines","ATL",1,0,0,5,2,20.1,6.196721408354985,3.0983607041774923,1.3278688732189252,0.2033898305084746,0.69148936,0.403225806,0.096774193,89.95796712239583,3.9836066196567756,,4.9763518618179,5.579002905950587,0.050299130380153656,"Darius Vines",25928,670241
2022,"Cristofer Ogando","TBR",0,0,0,3,0,4.1,4.153846458570514,2.076923229285257,0,0.3076923076923077,0.66666667,0.307692307,0,94.5797980813419,4.153846458570514,,3.573969497059932,4.9404644317284685,0.05010911077260971,"Cristofer Ogando",20667,642657
2022,"Hunter Strickland","CIN",3,3,7,66,0,62.1,8.663102311168187,4.764706271142503,1.1550803081557581,0.30113636363636365,0.71269488,0.342391304,0.102564102,95.19911099137931,4.909091309661972,,4.7808803356659695,4.9648720112474525,0.049993064254522324,"Hunter Strickland",7836,519326
2024,"Nick Vespi","BAL",0,0,0,11,0,12.1,6.567567736846505,2.1891892456155015,0.7297297485385005,0.25,0.77586207,0.459459459,0.083333333,89.38332112630208,2.918918994154002,,3.4908041109735737,3.907893381831804,0.04943513497710228,"Nick Vespi",21093,663989
2023,"Daniel Hudson","LAD",0,0,1,3,0,3,15,9,0,0.3333333333333333,1,0.5,0,95.52943999191811,0,,2.9217070261637375,4.5750587801138565,0.04915427416563034,"Daniel Hudson",7146,543339
2024,"Brett de Geus","- - -",0,2,0,13,0,11.1,5.558824620857585,3.1764712119186203,0,0.3684210526315789,0.52380952,0.54054054,0,98.11990356445312,7.147060226816895,,3.784126958385082,4.584602154142201,0.04891167429741472,"Brett de Geus",23592,676969
