Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
2024,"Chris Taylor","LAD",87,246,4,28,23,5,0.113821138,0.308943089,0.098591549,0.288888888,0.201877934,0.297959183,0.300469483,-8.65043248963871,-4.8095749616622925,-0.5440631037095546,"Chris Taylor",13757,621035
2024,"Travis Jankowski","TEX",104,207,1,19,12,11,0.057971014,0.212560386,0.042105263,0.255172413,0.2,0.265700483,0.242105263,-10.474008126805273,0.7080409526824951,-0.29594373162575566,"Travis Jankowski",13768,608671
2024,"Rob Refsnyder","BOS",93,307,11,32,40,2,0.091205211,0.254071661,0.1875,0.358695652,0.283088235,0.359477124,0.470588235,9.364765368327884,-7.801326274871826,1.2184133573092348,"Rob Refsnyder",13770,608701
2024,"Matt Duffy","TEX",4,10,0,2,0,0,0.2,0.1,0,0.333333333,0.285714285,0.5,0.285714285,0.6831533741824325,0.3894960433244705,0.14520896968799185,"Matt Duffy",13836,622110
2024,"Joey Wendle","NYM",18,37,0,3,1,1,0.027027027,0.243243243,0.027777778,0.296296296,0.222222222,0.243243243,0.25,-2.2605133596822475,-1.2530511617660522,-0.23562065545507893,"Joey Wendle",13853,621563
2024,"Tyler Heineman","- - -",8,16,0,2,0,0,0.1875,0.375,0,0.166666666,0.083333333,0.3125,0.083333333,-1.0680031931687983,1.473846223205328,0.09699962383873514,"Tyler Heineman",13897,623168
2024,"Eric Haase","MIL",30,69,5,10,14,0,0.04347826,0.405797101,0.242424243,0.393939393,0.272727272,0.304347826,0.515151515,0.23811196710094773,-0.3178372383117676,0.22907451890119243,"Eric Haase",14111,606992
2024,"Joey Gallo","WSN",76,260,10,24,27,3,0.123076923,0.392307692,0.174887892,0.232142857,0.161434977,0.276923076,0.336322869,-8.48515904622025,-1.7101085186004639,-0.15873865743047694,"Joey Gallo",14128,608336
2024,"Daniel Vogelbach","TOR",31,79,1,5,8,0,0.11392405,0.215189873,0.114285715,0.23076923,0.185714285,0.278481012,0.3,-3.3819831710107846,-2.3765430450439453,-0.3227449450440164,"Daniel Vogelbach",14130,596129
2024,"Byron Buxton","MIN",102,388,18,62,56,7,0.051546391,0.255154639,0.245070422,0.3375,0.278873239,0.335051546,0.523943661,21.27917101249255,1.3230209946632385,3.6701161945413134,"Byron Buxton",14161,621439
2024,"Carlos Correa","MIN",86,367,14,55,54,0,0.108991825,0.166212534,0.206896552,0.342741935,0.310344827,0.387978142,0.517241379,22.727908879563447,6.440043926239014,4.275913899107881,"Carlos Correa",14162,621043
2024,"Jorge Soler","- - -",142,574,21,84,64,1,0.118466898,0.245644599,0.200811359,0.292537313,0.24137931,0.338003502,0.442190669,8.920098292885015,-17.790847897529602,1.0579795686331892,"Jorge Soler",14221,624585
2024,"Mitch Haniger","SEA",121,423,12,42,44,0,0.094562647,0.29787234,0.12631579,0.275720164,0.207894736,0.286052009,0.334210526,-8.832229080101472,-10.692584037780762,-0.5601666428633452,"Mitch Haniger",14274,571745
2024,"Matt Olson","ATL",162,685,29,78,98,0,0.103649635,0.248175182,0.21,0.293103448,0.246666666,0.332846715,0.456666666,10.29682547659619,-8.331689357757568,2.5588421774553036,"Matt Olson",14344,621566
2024,"Joey Meneses","WSN",76,313,3,19,42,2,0.067092651,0.201277955,0.071174378,0.280542986,0.231316725,0.290734824,0.302491103,-12.273962370213685,-7.584564685821533,-0.9744578206045579,"Joey Meneses",14366,608841
